2023-06-08 13:16:49.685 | INFO     | connector.mapper:select_info_mode:85 - sql sentence => SHOW COLUMNS FROM `tafang`.`info`
2023-06-08 13:16:49.687 | INFO     | connector.mapper:select_all_mode:104 - sql sentence => SELECT * FROM `tafang`.`info`
2023-06-08 13:16:52.323 | INFO     | connector.mapper:update_mode:141 - sql sentence => UPDATE `tafang`.`info` SET `name`='null', `adv-desc`='null', `disadv-desc`='null', `atk`=null, `sup`=null, `func`=null, `minNum`=3, `allScore`=0 WHERE `id`=172
2023-06-08 13:16:52.326 | INFO     | connector.mapper:update_mode:141 - sql sentence => UPDATE `tafang`.`info` SET `name`='null', `adv-desc`='null', `disadv-desc`='null', `atk`=null, `sup`=null, `func`=null, `minNum`=3, `allScore`=0 WHERE `id`=172
2023-06-08 13:17:40.413 | INFO     | connector.mapper:<module>:10 - ------------------------- Start -------------------------
2023-06-08 13:17:40.414 | INFO     | connector.mapper:<module>:11 - ------------- OpenTime: 2023-06-08 13:17:40 -------------
2023-06-08 13:17:43.594 | INFO     | connector.mapper:select_info_mode:85 - sql sentence => SHOW COLUMNS FROM `tafang`.`info`
2023-06-08 13:17:43.595 | INFO     | connector.mapper:select_all_mode:104 - sql sentence => SELECT * FROM `tafang`.`info`
2023-06-08 13:17:59.861 | INFO     | connector.mapper:<module>:10 - ------------------------- Start -------------------------
2023-06-08 13:17:59.862 | INFO     | connector.mapper:<module>:11 - ------------- OpenTime: 2023-06-08 13:17:59 -------------
2023-06-08 13:18:03.595 | INFO     | connector.mapper:select_info_mode:85 - sql sentence => SHOW COLUMNS FROM `draft`.`album`
2023-06-08 13:18:03.597 | INFO     | connector.mapper:select_all_mode:104 - sql sentence => SELECT * FROM `draft`.`album`
2023-06-08 13:19:26.290 | INFO     | connector.mapper:<module>:10 - ------------------------- Start -------------------------
2023-06-08 13:19:26.292 | INFO     | connector.mapper:<module>:11 - ------------- OpenTime: 2023-06-08 13:19:26 -------------
2023-06-08 13:19:29.639 | INFO     | connector.mapper:<module>:10 - ------------------------- Start -------------------------
2023-06-08 13:19:29.641 | INFO     | connector.mapper:<module>:11 - ------------- OpenTime: 2023-06-08 13:19:29 -------------
2023-06-08 13:19:30.448 | INFO     | connector.mapper:<module>:10 - ------------------------- Start -------------------------
2023-06-08 13:19:30.463 | INFO     | connector.mapper:<module>:11 - ------------- OpenTime: 2023-06-08 13:19:30 -------------
2023-06-08 13:19:35.926 | INFO     | connector.mapper:select_info_mode:85 - sql sentence => SHOW COLUMNS FROM `tafang`.`info`
2023-06-08 13:19:35.929 | INFO     | connector.mapper:select_all_mode:104 - sql sentence => SELECT * FROM `tafang`.`info`
2023-06-08 13:21:02.040 | INFO     | connector.mapper:<module>:10 - ------------------------- Start -------------------------
2023-06-08 13:21:02.041 | INFO     | connector.mapper:<module>:11 - ------------- OpenTime: 2023-06-08 13:21:02 -------------
2023-06-08 13:21:04.657 | INFO     | connector.mapper:select_info_mode:85 - sql sentence => SHOW COLUMNS FROM `tafang`.`info`
2023-06-08 13:21:04.660 | INFO     | connector.mapper:select_all_mode:104 - sql sentence => SELECT * FROM `tafang`.`info`
2023-06-08 13:23:27.135 | INFO     | connector.mapper:<module>:10 - ------------------------- Start -------------------------
2023-06-08 13:23:27.137 | INFO     | connector.mapper:<module>:11 - ------------- OpenTime: 2023-06-08 13:23:27 -------------
2023-06-08 13:23:30.024 | INFO     | connector.mapper:select_info_mode:85 - sql sentence => SHOW COLUMNS FROM `draft`.`album`
2023-06-08 13:23:30.027 | INFO     | connector.mapper:select_all_mode:104 - sql sentence => SELECT * FROM `draft`.`album`
2023-06-08 13:23:31.864 | INFO     | connector.mapper:update_mode:141 - sql sentence => UPDATE `draft`.`album` SET `id`='None', `666`='<connector.base_widget.DataItem object at 0x000002ADC76BFA60>', `123`=null, `title`='456', `genre`='None', `score`=5.0 WHERE `artist`='123'
2023-06-08 13:23:31.867 | ERROR    | connector.mapper:update_mode:147 - (1406, "Data too long for column '666' at row 1")
2023-06-08 13:23:38.305 | INFO     | connector.mapper:select_all_mode:104 - sql sentence => SELECT * FROM `draft`.`album`
2023-06-08 13:24:17.530 | INFO     | connector.mapper:<module>:10 - ------------------------- Start -------------------------
2023-06-08 13:24:17.531 | INFO     | connector.mapper:<module>:11 - ------------- OpenTime: 2023-06-08 13:24:17 -------------
2023-06-08 13:24:19.574 | INFO     | connector.mapper:select_info_mode:85 - sql sentence => SHOW COLUMNS FROM `draft`.`album`
2023-06-08 13:24:19.577 | INFO     | connector.mapper:select_all_mode:104 - sql sentence => SELECT * FROM `draft`.`album`
2023-06-08 13:24:35.284 | INFO     | connector.mapper:<module>:10 - ------------------------- Start -------------------------
2023-06-08 13:24:35.286 | INFO     | connector.mapper:<module>:11 - ------------- OpenTime: 2023-06-08 13:24:35 -------------
2023-06-08 13:24:38.746 | INFO     | connector.mapper:select_info_mode:85 - sql sentence => SHOW COLUMNS FROM `draft`.`album`
2023-06-08 13:24:38.749 | INFO     | connector.mapper:select_all_mode:104 - sql sentence => SELECT * FROM `draft`.`album`
2023-06-08 13:24:44.130 | INFO     | connector.mapper:update_mode:141 - sql sentence => UPDATE `draft`.`album` SET `id`='None', `666`='sss', `123`=null, `title`='456', `genre`='None', `score`=5.0 WHERE `artist`='123'
2023-06-08 13:25:13.798 | INFO     | connector.mapper:<module>:10 - ------------------------- Start -------------------------
2023-06-08 13:25:13.799 | INFO     | connector.mapper:<module>:11 - ------------- OpenTime: 2023-06-08 13:25:13 -------------
2023-06-08 13:25:17.283 | INFO     | connector.mapper:select_info_mode:85 - sql sentence => SHOW COLUMNS FROM `draft`.`album`
2023-06-08 13:25:17.285 | INFO     | connector.mapper:select_all_mode:104 - sql sentence => SELECT * FROM `draft`.`album`
